date,taiex_close,verdict,label,flow_score,stock_confirmed,warning_active,confidence,insufficient_data,forward_days,forward_return_pct,max_favorable_pct,max_adverse_pct,long_win,risk_off_win
2026-06-29,44999.9,NEUTRAL,中性／觀察,1,False,False,0,False,5,3.4589,4.4869,2.5023,True,False
2026-06-30,46125.91,PANIC_CONTINUES,恐慌持續,4,False,True,0,False,5,-1.4022,1.9362,-1.4022,False,True
2026-07-01,47018.99,BOUNCE_BREWING,醞釀反彈,4,False,False,0,False,5,-2.732,-0.507,-3.275,False,True
2026-07-02,46744.16,PANIC_CONTINUES,恐慌持續,0,False,True,0,False,5,-2.9727,0.078,-2.9727,False,True
2026-07-03,46780.62,PANIC_CONTINUES,恐慌持續,0,False,True,0,False,5,-2.9929,-0.4793,-3.0483,False,True
2026-07-06,46556.39,BOUNCE_BREWING,醞釀反彈,2,False,False,0,False,5,-3.9059,-1.7656,-3.9059,False,True
2026-07-07,45479.11,PANIC_CONTINUES,恐慌持續,0,False,True,0,False,4,-1.6297,0.5614,-1.6297,False,True
2026-07-08,45734.41,PANIC_CONTINUES,恐慌持續,0,False,False,0,False,3,-2.1788,-0.7738,-2.1788,False,True
2026-07-09,45354.61,PANIC_CONTINUES,恐慌持續,1,False,True,0,False,2,-1.3596,0.0571,-1.3596,False,True
2026-07-13,45380.52,BOUNCE_BREWING,醞釀反彈,2,False,False,0,False,1,-1.416,-1.416,-1.416,False,True
2026-07-14,44737.95,PANIC_CONTINUES,恐慌持續,0,False,False,0,False,0,,,,,
